고객ID,피부타입,고민,선호향,사용목적,구매빈도
C001,건성,모공,자스민,여행용,월 2회
C002,지성,민감,자스민,데일리,주 2회
C003,민감성,홍조,장미,데일리,주 1회
C004,민감성,"건조, 트러블",무향,아침 케어,월 1회
C005,지성,주름,장미,데일리,월 2회
C006,민감성,"홍조, 주름",장미,야간 케어,주 2회
C007,복합성,유분,무향,여행용,주 1회
C008,민감성,민감,자스민,데일리,주 2회
C009,건성,"민감, 주름",장미,데일리,월 2회
C010,민감성,"유분, 트러블",라벤더,야간 케어,월 1회
C011,복합성,민감,장미,데일리,월 1회
C012,건성,"홍조, 건조",무향,데일리,주 1회
C013,민감성,홍조,카모마일,데일리,월 1회
C014,복합성,유분,자스민,여행용,월 1회
C015,건성,트러블,장미,데일리,주 2회
C016,민감성,건조,자스민,야간 케어,월 2회
C017,민감성,"건조, 모공",장미,야간 케어,월 2회
C018,민감성,"건조, 트러블",자스민,데일리,주 1회
C019,건성,"홍조, 민감",무향,아침 케어,월 2회
C020,민감성,유분,자스민,데일리,월 1회
C021,지성,민감,장미,여행용,월 2회
C022,지성,모공,장미,데일리,주 1회
C023,지성,민감,장미,야간 케어,월 2회
C024,지성,"민감, 주름",무향,야간 케어,월 1회
C025,민감성,"유분, 주름",라벤더,아침 케어,주 1회
C026,민감성,"모공, 홍조",라벤더,아침 케어,월 1회
C027,지성,건조,자스민,야간 케어,월 1회
C028,지성,"건조, 홍조",카모마일,데일리,월 1회
C029,복합성,"건조, 유분",자스민,아침 케어,월 2회
C030,민감성,"건조, 홍조",라벤더,여행용,월 1회
C031,민감성,건조,라벤더,야간 케어,월 1회
C032,복합성,유분,카모마일,여행용,월 1회
C033,복합성,"유분, 모공",장미,데일리,월 2회
C034,건성,건조,무향,아침 케어,월 1회
C035,지성,건조,라벤더,아침 케어,주 2회
C036,민감성,홍조,무향,아침 케어,주 1회
C037,민감성,"건조, 유분",장미,아침 케어,주 2회
C038,민감성,"홍조, 모공",무향,아침 케어,월 1회
C039,복합성,유분,장미,아침 케어,월 1회
C040,복합성,"민감, 건조",라벤더,여행용,주 2회
C041,건성,모공,자스민,데일리,주 1회
C042,민감성,"홍조, 트러블",장미,아침 케어,월 2회
C043,민감성,"민감, 모공",무향,아침 케어,월 2회
C044,민감성,모공,자스민,데일리,월 1회
C045,건성,"유분, 민감",무향,여행용,월 1회
C046,건성,모공,무향,여행용,주 1회
C047,복합성,건조,무향,데일리,주 2회
C048,건성,"건조, 민감",장미,야간 케어,월 2회
C049,건성,유분,자스민,여행용,주 2회
C050,건성,건조,자스민,여행용,주 2회
C051,복합성,주름,카모마일,야간 케어,주 1회
C052,민감성,건조,라벤더,야간 케어,월 2회
C053,민감성,민감,라벤더,데일리,월 2회
C054,지성,홍조,무향,여행용,주 2회
C055,건성,유분,무향,야간 케어,주 2회
C056,민감성,홍조,무향,여행용,주 1회
C057,지성,민감,카모마일,데일리,월 2회
C058,민감성,"홍조, 모공",자스민,야간 케어,월 1회
C059,건성,"트러블, 주름",카모마일,여행용,주 1회
C060,건성,"건조, 주름",자스민,데일리,주 2회
C061,건성,모공,무향,야간 케어,월 2회
C062,민감성,"주름, 건조",자스민,아침 케어,주 2회
C063,복합성,"홍조, 트러블",라벤더,데일리,주 2회
C064,지성,유분,장미,아침 케어,월 1회
C065,건성,민감,카모마일,야간 케어,주 1회
C066,복합성,주름,무향,여행용,주 2회
C067,민감성,"건조, 홍조",무향,데일리,월 1회
C068,지성,"홍조, 건조",장미,데일리,주 1회
C069,지성,홍조,무향,야간 케어,주 1회
C070,복합성,"홍조, 건조",무향,데일리,월 2회
C071,건성,"건조, 유분",장미,야간 케어,주 2회
C072,지성,주름,장미,데일리,주 1회
C073,건성,"유분, 모공",장미,야간 케어,주 2회
C074,복합성,유분,자스민,데일리,월 1회
C075,민감성,"홍조, 모공",무향,아침 케어,월 2회
C076,지성,주름,카모마일,여행용,월 1회
C077,복합성,"모공, 건조",무향,데일리,주 2회
C078,건성,"유분, 민감",장미,데일리,주 1회
C079,민감성,"유분, 건조",카모마일,여행용,월 2회
C080,복합성,"홍조, 주름",장미,여행용,월 2회
C081,지성,"유분, 홍조",장미,여행용,주 1회
C082,복합성,유분,무향,아침 케어,월 2회
C083,지성,홍조,카모마일,야간 케어,주 1회
C084,건성,"민감, 트러블",자스민,여행용,주 2회
C085,지성,유분,장미,여행용,주 2회
C086,지성,민감,라벤더,데일리,주 1회
C087,건성,"트러블, 홍조",자스민,여행용,월 1회
C088,지성,"건조, 주름",라벤더,야간 케어,월 1회
C089,복합성,모공,라벤더,아침 케어,월 1회
C090,민감성,"모공, 트러블",라벤더,아침 케어,주 1회
C091,지성,"주름, 트러블",자스민,데일리,주 1회
C092,지성,주름,장미,데일리,월 1회
C093,민감성,"주름, 모공",라벤더,데일리,월 2회
C094,지성,"유분, 건조",라벤더,여행용,주 1회
C095,복합성,"트러블, 건조",카모마일,데일리,주 2회
C096,민감성,"민감, 주름",라벤더,여행용,월 2회
C097,건성,유분,무향,여행용,주 2회
C098,지성,"주름, 민감",라벤더,여행용,월 2회
C099,복합성,"유분, 트러블",자스민,야간 케어,주 2회
C100,복합성,"민감, 트러블",카모마일,아침 케어,월 1회
